notion_title,notion_type,parent,candidate_category,suggested_slug,migration_complexity,status,notes
"한지우 | HJW",page,"top-level",etc,han-jiwoo-hjw,complex,candidate,"profile root; images, columns, callouts, external links"
"Game Design Hub",page,"top-level",game,game-design-hub,complex,candidate,"hub page; inline databases, columns, toggles, child pages"
"노션 자료실",page,"top-level",research,notion-reference-room,complex,candidate,"research/reference area; migrate selected child pages only"
"생성형 AI 기반 AI NPC 게임에서의 동적 스토리텔링과 상호작용 효과성 연구(오석희)",page,"노션 자료실",research,ai-npc-dynamic-storytelling-research,medium,candidate,"long research note; toggles, callout, unknown blocks, truncated fetch"
"게임 기획",database,"Game Design Hub / 데이터베이스",game,game-planning-db,complex,candidate,"database with status, date, relation, formula properties"
"세피리아 모드",page,"Game Design Hub / 데이터베이스 / 게임 기획",game,sephiria-mode,complex,candidate,"planning hub; inline databases, toggles, many child pages"
"기획 요약",page,"Game Design Hub / 데이터베이스 / 게임 기획 / 세피리아 모드",game,sephiria-design-summary,low,candidate,"heading and list focused; good basic sample"
"백룸",page,"Game Design Hub / 데이터베이스 / 게임 기획",game,backrooms-coop-horror,medium,candidate,"GDD style page; callouts and toggles"
"협력 투표 뱀서라이크 ver 2.0",page,"Game Design Hub / 데이터베이스 / 게임 기획",game,co-op-vote-vampire-survivors-like,complex,candidate,"large planning hub; many child pages and inline databases"
"스탯과 계산식 기획",page,"Game Design Hub / 데이터베이스 / 게임 기획 / 협력 투표 뱀서라이크 ver 2.0",game,co-op-vote-stats-formulas,medium,candidate,"tables and code fences; good rule sample"
"협력 투표 뱀서라이크",page,"Game Design Hub / 데이터베이스 / 게임 기획",game,co-op-vote-vampire-survivors-like-v1,medium,candidate,"older planning page; linked notes and ideas"
"2D 멀티 시간제한 게임 (2인 협동)",page,"Game Design Hub / 데이터베이스 / 게임 기획",game,2d-multiplayer-time-limit-coop,unknown,candidate,"title and row metadata inspected only"
"2D 멀티 시간제한 게임 (io 스타일)",page,"Game Design Hub / 데이터베이스 / 게임 기획",game,2d-multiplayer-time-limit-io,unknown,candidate,"title and row metadata inspected only"
"게임 아이디어",database,"Game Design Hub / 데이터베이스",game,game-ideas-db,complex,candidate,"idea database with relation, rollup, formula; mostly supporting material"
"타일맵 그리드",page,"Game Design Hub / 데이터베이스 / 게임 아이디어",game,tilemap-grid,medium,candidate,"idea item linked to notes"
"2D 샌드박스 게임",page,"Game Design Hub / 데이터베이스 / 게임 아이디어",game,2d-sandbox-game,medium,candidate,"idea item linked to notes"
"제한 아이디어: 기획 시작",page,"Game Design Hub / 데이터베이스 / 게임 아이디어",game,restriction-ideas-planning-start,medium,candidate,"idea item linked to notes"
"노트",database,"Game Design Hub / 노트 수집함",TBD,notes-db,medium,candidate,"supporting notes database; merge into related project pages"
"듀얼 그리드",page,"Game Design Hub / 데이터베이스 / 노트",research,dual-grid,medium,candidate,"note linked to tilemap grid idea"
"Stalberg 그리드",page,"Game Design Hub / 데이터베이스 / 노트",research,stalberg-grid,medium,candidate,"note linked to tilemap grid idea"
"프로젝트",database,"PARA Note / 데이터베이스",game,para-projects-db,medium,candidate,"project database with status, date, relation, formula"
"GDH_VamSur",page,"PARA Note / 데이터베이스 / 프로젝트",game,gdh-vamsur,medium,candidate,"project row; linked note"
"아포칼립스 생존 게임",page,"PARA Note / 데이터베이스 / 프로젝트",game,apocalypse-survival-game,unknown,candidate,"project row metadata inspected only"
"겜엔기 7조 TPSGame",page,"PARA Note / 데이터베이스 / 프로젝트",game,tpsgame-team-7,medium,candidate,"completed project row; linked note"
"사진",page,"top-level",TBD,,unknown,not-target,"private photo area; not deeply inspected"
"PARA Note",page,"top-level",TBD,,complex,not-target,"personal knowledge system; migrate selected project DB rows only"
